Name,WHORegion,CasesCumulativeTotal,CasesCumulativeTotalPer100000Population,CasesNewlyReportedInLast7Days,CasesNewlyReportedInLast7DaysPer100000Population,CasesNewlyReportedInLast24Hours,DeathsCumulativeTotal,DeathsCumulativeTotalPer100000Population,DeathsNewlyReportedInLast7Days,DeathsNewlyReportedInLast7DaysPer100000Population,DeathsNewlyReportedInLast24Hours
Global,,328532929,4214.910872,19562720,250.9797769,1586889,5542359,71.1056553,48626,0.623846921,5255
United States of America,Americas,64720612,19552.898,4787471,1446.354,0,843718,254.898,12094,3.654,0
India,South-East Asia,37618271,2725.953,1742481,126.266,238018,486761,35.272,2548,0.185,310
Brazil,Americas,23000657,10820.813,476750,224.29,24934,621045,292.175,1064,0.501,74
The United Kingdom,Europe,15305414,22545.758,688481,1014.172,84429,152075,224.015,1845,2.718,85
France,Europe,13917995,21399.342,2011244,3092.349,98813,124610,191.592,1506,2.316,296
Russian Federation,Europe,10865512,7445.474,181308,124.239,31252,322678,221.112,4991,3.42,688
Turkey,Europe,10521208,12474.893,478411,567.247,64935,84920,100.689,1077,1.277,162
Italy,Europe,8790302,14738.569,1235958,2072.312,83387,141391,237.068,2126,3.565,287
Spain,Europe,8424503,17798.516,784598,1657.627,36338,90993,192.242,460,0.972,33
Germany,Europe,8074527,9708.845,493146,592.961,74405,115842,139.289,1491,1.793,193
Argentina,Americas,7197323,15924.77,886479,1961.42,102458,118231,261.597,739,1.635,191
Iran (Islamic Republic of),Eastern Mediterranean,6224196,7410.379,15859,18.881,3163,132095,157.269,180,0.214,20
Colombia,Americas,5543796,10895.206,213134,418.872,32317,130996,257.446,658,1.293,136
Mexico,Americas,4368314,3388.056,212810,165.055,19132,301410,233.773,864,0.67,76
Poland,Europe,4343130,11441.894,110744,291.753,19648,102686,270.524,2432,6.407,377
Indonesia,South-East Asia,4273783,1562.491,6332,2.315,1362,144183,52.713,39,0.014,9
Ukraine,Europe,3768088,8615.971,58217,133.117,8558,98549,225.339,1005,2.298,188
Netherlands,Europe,3611351,20745.847,240599,1382.15,42472,21158,121.545,71,0.408,3
South Africa,Africa,3560921,6004.046,32458,54.727,1691,93451,157.567,921,1.553,87
Philippines,Western Pacific,3242374,2958.881,243908,222.582,37070,52929,48.301,636,0.58,22
Malaysia,Western Pacific,2810689,8684.079,21829,67.444,2342,31809,98.279,113,0.349,16
Canada,Americas,2759991,7312.754,220061,583.064,71240,31530,83.541,742,1.966,340
Czechia,Europe,2624121,24538.395,85527,799.771,20270,36910,345.149,191,1.786,11
Peru,Americas,2606126,7904.093,230313,698.514,43592,203464,617.084,397,1.204,88
Belgium,Europe,2484027,21558.168,152618,1324.528,16,28661,248.741,116,1.007,3
Thailand,South-East Asia,2337811,3349.3,53202,76.221,6397,21956,31.456,106,0.152,18
Iraq,Eastern Mediterranean,2118779,5267.647,19871,49.403,4466,24252,60.295,40,0.099,5
Viet Nam,Western Pacific,2045290,2101.212,130897,134.476,21744,35788,36.767,1257,1.291,179
Romania,Europe,1911546,9889.606,62905,325.446,8118,59257,306.573,230,1.19,17
Portugal,Europe,1906891,18520.861,246833,2397.389,21913,19334,187.783,201,1.952,31
Japan,Western Pacific,1903190,1504.778,131192,103.728,23351,18434,14.575,29,0.023,1
Chile,Americas,1885540,9863.571,52062,272.345,8930,39426,206.244,141,0.738,32
Israel,Europe,1792015,20703.674,216239,2498.272,0,8318,96.1,29,0.335,0
Switzerland,Europe,1726975,19954.376,138775,1603.479,26,12089,139.683,50,0.578,0
Greece,Europe,1679705,15670.988,144323,1346.477,18831,22087,206.063,608,5.672,103
Bangladesh,South-East Asia,1632794,991.439,34405,20.891,8407,28164,17.101,57,0.035,10
Sweden,Europe,1560363,15108.686,88224,854.256,0,15513,150.209,24,0.232,0
Austria,Europe,1459744,16399.657,112443,1263.253,16049,13469,151.319,61,0.685,3
Serbia,Europe,1449192,20921.809,89648,1294.237,12797,13098,189.094,162,2.339,27
Australia,Western Pacific,1425501,5590.225,450033,1764.843,47052,2698,10.58,309,1.212,30
Hungary,Europe,1355084,13870.519,54090,553.66,6851,40601,415.588,585,5.988,94
Pakistan,Eastern Mediterranean,1328487,601.418,22780,10.313,4340,29019,13.137,47,0.021,7
Denmark,Europe,1159986,19921.573,176087,3024.114,28780,3505,60.195,111,1.906,11
Kazakhstan,Europe,1155871,6155.877,71883,382.831,9706,18326,97.6,40,0.213,8
Ireland,Europe,1109818,22355.351,107805,2171.544,6329,6035,121.565,83,1.672,0
Jordan,Eastern Mediterranean,1106006,10839.865,23436,229.694,5039,13004,127.451,111,1.088,18
Morocco,Eastern Mediterranean,1051830,2849.672,47124,127.671,3177,14994,40.623,79,0.214,18
Georgia,Europe,1006864,25239.905,38551,966.39,7521,14512,363.784,248,6.217,31
Cuba,Americas,999193,8821.637,19264,170.077,0,8341,73.641,12,0.106,1
Slovakia,Europe,884604,16207.852,18192,333.317,3933,17398,318.769,359,6.578,46
Nepal,South-East Asia,868215,2979.788,32288,110.815,8730,11624,39.895,17,0.058,1
Bulgaria,Europe,830604,11948.589,43426,624.701,9996,32247,463.887,575,8.272,161
Lebanon,Eastern Mediterranean,826279,12105.863,45446,665.832,6109,9397,137.676,99,1.45,14
Croatia,Europe,818832,20177.395,51649,1272.718,1397,13157,324.211,239,5.889,39
United Arab Emirates,Eastern Mediterranean,808237,8171.933,20050,202.722,2989,2195,22.193,21,0.212,4
Tunisia,Eastern Mediterranean,791917,6700.588,46950,397.255,3905,25817,218.443,147,1.244,14
Belarus,Europe,717034,7588.207,8103,85.752,1391,5836,61.761,112,1.185,12
Bolivia (Plurinational State of),Americas,711299,6093.53,34133,292.409,0,20103,172.218,120,1.028,0
Republic of Korea,Western Pacific,700102,1365.542,29622,57.777,4072,6378,12.44,264,0.515,45
Guatemala,Americas,653171,3645.829,14466,80.745,4224,16176,90.29,51,0.285,16
Azerbaijan,Europe,626085,6174.911,4522,44.599,359,8529,84.119,72,0.71,8
Saudi Arabia,Eastern Mediterranean,620935,1783.585,37404,107.44,5505,8908,25.588,13,0.037,2
Ecuador,Americas,614032,3480.304,46700,264.693,11090,34219,193.952,510,2.891,13
Costa Rica,Americas,609882,11972.279,20226,397.046,0,7406,145.383,25,0.491,0
Sri Lanka,South-East Asia,597035,2788.157,3963,18.507,0,15218,71.068,69,0.322,0
Lithuania,Europe,575357,20591.928,28337,1014.176,4755,7681,274.902,116,4.152,21
Panama,Americas,574856,13322.991,48541,1124.997,7278,7520,174.285,55,1.275,9
Slovenia,Europe,538325,25685.148,44974,2145.848,4967,6194,295.535,13,0.62,0
Myanmar,South-East Asia,533245,980.053,843,1.549,0,19304,35.479,9,0.017,0
Uruguay,Americas,512841,14763.41,63419,1825.674,12574,6243,179.72,51,1.468,18
Norway,Europe,512391,9546.034,61857,1152.419,1134,1382,25.747,32,0.596,1
Dominican Republic,Americas,504914,4654.482,42532,392.076,6331,4269,39.353,14,0.129,1
Paraguay,Americas,501189,7026.797,24297,340.65,3853,16821,235.835,148,2.075,101
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,477151,9353.309,3849,75.45,823,5027,98.541,34,0.666,8
Kuwait,Eastern Mediterranean,470478,11016.747,32876,769.827,5147,2477,58.002,5,0.117,1
Ethiopia,Africa,458203,398.564,11935,10.382,881,7162,6.23,120,0.104,15
Venezuela (Bolivarian Republic of),Americas,453974,1596.48,6686,23.512,0,5378,18.913,21,0.074,0
Puerto Rico,Americas,418418,14625.638,56275,1967.071,5842,3520,123.04,147,5.138,9
Mongolia,Western Pacific,411368,12548.249,15013,457.952,2135,2016,61.495,15,0.458,3
Egypt,Eastern Mediterranean,401308,392.154,7500,7.329,1232,22179,21.673,184,0.18,31
Finland,Europe,399329,7227.292,45017,814.744,3052,1761,31.872,3,0.054,0
Libya,Eastern Mediterranean,398055,5793.015,4072,59.261,736,5853,85.18,57,0.83,12
Republic of Moldova,Europe,390742,9686.306,9757,241.871,1783,10452,259.1,72,1.785,8
Honduras,Americas,382815,3865.02,1561,15.76,0,10450,105.506,6,0.061,0
Armenia,Europe,348145,11748.819,1921,64.828,360,8022,270.718,16,0.54,2
Kenya,Africa,317857,591.128,5285,9.829,223,5499,10.227,45,0.084,11
Bosnia and Herzegovina,Europe,317692,9683.326,15105,460.404,1442,13841,421.877,196,5.974,68
Oman,Eastern Mediterranean,313538,6139.827,5277,103.336,1113,4122,80.719,3,0.059,0
Bahrain,Eastern Mediterranean,310906,18271.66,16440,966.164,2898,1398,82.159,1,0.059,0
Latvia,Europe,305354,16006.605,16639,872.214,1560,4734,248.155,73,3.827,4
Qatar,Eastern Mediterranean,303240,10525.318,28711,996.545,3998,627,21.763,8,0.278,1
Zambia,Africa,296817,1614.544,12428,67.602,685,3866,21.029,49,0.267,6
Singapore,Western Pacific,293014,5008.494,6617,113.104,1165,843,14.409,5,0.085,0
Estonia,Europe,271500,20429.263,15745,1184.747,2301,1987,149.514,28,2.107,3
Nigeria,Africa,251178,121.849,2446,1.187,249,3110,1.509,25,0.012,7
North Macedonia,Europe,245398,11778.84,11121,533.796,766,8115,389.511,63,3.024,15
Botswana,Africa,239887,10200.895,7455,317.015,2209,2534,107.755,37,1.573,20
Albania,Europe,233654,8119.188,13167,457.537,1017,3271,113.663,30,1.042,2
Cyprus,Europe,228656,25749.405,20097,2263.163,2918,684,77.027,23,2.59,3
Algeria,Africa,226749,517.089,4110,9.373,692,6423,14.647,74,0.169,11
Zimbabwe,Africa,226460,1523.657,3460,23.279,382,5258,35.377,78,0.525,11
Mozambique,Africa,219390,701.926,8399,26.872,309,2132,6.821,36,0.115,5
Uzbekistan,Europe,207057,618.649,5902,17.634,935,1522,4.547,21,0.063,4
Montenegro,Europe,204856,32617.162,12616,2008.719,1063,2474,393.91,32,5.095,8
Kyrgyzstan,Europe,191288,2931.98,4875,74.722,820,2836,43.469,15,0.23,3
Kosovo[1],Europe,166819,9290.091,3949,219.918,728,2984,166.178,3,0.167,0
Afghanistan,Eastern Mediterranean,158826,407.996,432,1.11,89,7381,18.96,8,0.021,2
Uganda,Africa,158743,347.047,3300,7.215,0,3424,7.486,63,0.138,0
Namibia,Africa,154536,6081.928,1710,67.299,567,3823,150.458,97,3.818,19
Ghana,Africa,153514,494.044,1271,4.09,0,1343,4.322,11,0.035,0
China,Western Pacific,136270,9.262,1871,0.127,243,5700,0.387,1,0,0
Luxembourg,Europe,127765,20406.224,11725,1872.68,546,938,149.814,7,1.118,2
Rwanda,Africa,125568,969.471,3826,29.539,402,1411,10.894,27,0.208,3
Lao People's Democratic Republic,Western Pacific,125333,1722.658,5812,79.884,602,497,6.831,49,0.673,2
El Salvador,Americas,123577,1905.228,1108,17.082,0,3834,59.11,7,0.108,0
Cambodia,Western Pacific,120825,722.682,189,1.13,29,3015,18.033,0,0,0
Jamaica,Americas,112218,3789.655,8760,295.829,1968,2530,85.439,29,0.979,8
Cameroon,Africa,109666,413.119,0,0,0,1853,6.98,0,0,0
Maldives,South-East Asia,105001,19425.061,5902,1091.863,0,265,49.025,1,0.185,0
Réunion,Africa,102216,11416.802,16256,1815.68,0,435,48.586,16,1.787,0
Trinidad and Tobago,Americas,100994,7216.496,4042,288.82,404,3197,228.441,131,9.361,17
Angola,Africa,93694,285.076,3378,10.278,0,1863,5.668,31,0.094,0
Senegal,Africa,82986,495.619,3220,19.231,274,1909,11.401,10,0.06,1
Democratic Republic of the Congo,Africa,82984,92.656,1265,1.412,0,1278,1.427,53,0.059,0
Malawi,Africa,82792,432.787,2523,13.189,73,2474,12.933,54,0.282,8
Côte d’Ivoire,Africa,79273,300.524,1596,6.05,185,761,2.885,23,0.087,8
Guadeloupe,Americas,73660,18409.293,13007,3250.742,0,835,208.685,2,0.5,0
Mauritius,Africa,69962,5501.161,639,50.245,296,786,61.804,0,0,0
French Guiana,Americas,69381,23229.053,8891,2976.744,2106,348,116.512,4,1.339,0
Eswatini,Africa,67878,5850.725,505,43.528,29,1363,117.483,22,1.896,0
Martinique,Americas,65380,17422.355,13540,3608.117,0,805,214.515,17,4.53,0
Malta,Europe,63995,12436.743,3175,617.027,288,506,98.336,17,3.304,0
Suriname,Americas,63878,10888.939,6173,1052.278,435,1213,206.774,15,2.557,1
Fiji,Western Pacific,59785,6669.121,1936,215.964,329,746,83.218,32,3.57,16
Madagascar,Africa,55827,201.607,1726,6.233,0,1169,4.222,52,0.188,0
Mauritania,Africa,55395,1191.378,5722,123.063,404,909,19.55,21,0.452,1
Cabo Verde,Africa,54367,9778.466,3408,612.964,380,378,67.987,12,2.158,2
Sudan,Eastern Mediterranean,52345,119.375,3739,8.527,0,3390,7.731,43,0.098,0
Guyana,Americas,51203,6509.805,6296,800.456,2147,1095,139.215,25,3.178,14
Syrian Arab Republic,Eastern Mediterranean,50748,289.978,221,1.263,38,2950,16.857,20,0.114,3
Iceland,Europe,49972,13723.519,9903,2719.603,1490,44,12.083,3,0.824,0
French Polynesia,Western Pacific,47275,16829.353,507,180.486,143,636,226.409,0,0,0
Gabon,Africa,45405,2040.001,996,44.749,253,299,13.434,4,0.18,2
Belize,Americas,40612,10213.566,4810,1209.673,0,608,152.907,3,0.754,0
Burundi,Africa,36736,308.945,981,8.25,82,14,0.118,0,0,0
Papua New Guinea,Western Pacific,36446,407.353,31,0.346,0,596,6.661,1,0.011,0
Togo,Africa,35950,434.246,1565,18.904,0,261,3.153,7,0.085,0
Barbados,Americas,35734,12434.624,3893,1354.676,773,269,93.606,3,1.044,0
Guinea,Africa,35602,271.092,929,7.074,400,408,3.107,8,0.061,2
Mayotte,Africa,34903,12793.651,3423,1254.696,1146,186,68.178,0,0,0
Seychelles,Africa,32642,33190.641,4384,4457.686,448,126,128.118,0,0,0
Curaçao,Americas,31929,19457.868,3266,1990.335,0,199,121.273,6,3.656,0
Lesotho,Africa,31734,1481.34,628,29.315,0,687,32.069,4,0.187,0
United Republic of Tanzania,Africa,31395,52.558,831,1.391,0,745,1.247,5,0.008,0
Bahamas,Americas,30254,7693.442,765,194.536,0,719,182.838,0,0,0
Andorra,Europe,29888,38682.456,1905,2465.541,0,142,183.783,1,1.294,0
Aruba,Americas,29694,27812.225,2302,2156.117,0,184,172.34,2,1.873,0
Mali,Africa,28756,141.999,2744,13.55,170,692,3.417,17,0.084,1
Haiti,Americas,26807,235.097,0,0,0,780,6.841,0,0,0
Jersey,Europe,26407,24497.198,2184,2026.049,240,92,85.346,2,1.855,0
Benin,Africa,26036,214.762,514,4.24,0,162,1.336,1,0.008,0
Somalia,Eastern Mediterranean,24261,152.65,0,0,0,1335,8.4,0,0,0
Congo,Africa,23244,421.233,826,14.969,0,371,6.723,1,0.018,0
Burkina Faso,Africa,20249,96.87,613,2.933,277,339,1.622,6,0.029,0
Isle of Man,Europe,20087,23622.871,990,1164.268,131,70,82.322,2,2.352,0
Timor-Leste,South-East Asia,19865,1506.699,5,0.379,2,122,9.253,0,0,0
Guam,Western Pacific,17967,10645.534,1949,1154.792,0,274,162.346,0,0,0
Saint Lucia,Americas,17531,9547.071,2657,1446.955,281,314,170.999,8,4.357,0
Tajikistan,Europe,17493,183.41,0,0,0,125,1.311,0,0,0
South Sudan,Africa,16547,147.824,280,2.501,14,136,1.215,0,0,0
Brunei Darussalam,Western Pacific,15901,3634.689,223,50.974,20,59,13.486,0,0,0
Equatorial Guinea,Africa,15492,1104.217,621,44.263,173,178,12.687,1,0.071,0
Djibouti,Eastern Mediterranean,14984,1516.599,667,67.51,84,189,19.13,0,0,0
New Zealand,Western Pacific,14794,306.787,414,8.585,44,52,1.078,1,0.021,0
New Caledonia,Western Pacific,13965,4891.453,700,245.186,293,282,98.775,1,0.35,1
United States Virgin Islands,Americas,13760,13176.921,1219,1167.345,239,91,87.144,2,1.915,0
Nicaragua,Americas,13589,205.131,0,0,0,218,3.291,0,0,0
Central African Republic,Africa,13319,275.769,669,13.852,0,108,2.236,2,0.041,0
Cayman Islands,Americas,12023,18294.279,1405,2137.858,0,14,21.302,2,3.043,0
Gambia,Africa,11572,478.841,450,18.621,0,347,14.359,3,0.124,0
Gibraltar,Europe,10935,32456.739,920,2730.7,102,100,296.815,0,0,0
San Marino,Europe,10856,31987.742,1033,3043.786,215,103,303.495,0,0,0
Faroe Islands,Europe,10584,21659.675,2654,5431.29,415,15,30.697,0,0,0
Guernsey,Europe,10445,16201.837,495,767.823,26,30,46.535,2,3.102,0
Yemen,Eastern Mediterranean,10408,34.896,200,0.671,56,1991,6.675,4,0.013,1
Grenada,Americas,9701,8621.349,2032,1805.853,166,203,180.408,3,2.666,0
Eritrea,Africa,9002,253.833,583,16.439,92,88,2.481,6,0.169,1
Bermuda,Americas,8541,13715.414,1350,2167.874,0,110,176.642,0,0,0
Niger,Africa,8413,34.755,337,1.392,27,293,1.21,12,0.05,1
Sint Maarten,Americas,8250,19238.841,1558,3633.226,0,75,174.899,0,0,0
Greenland,Europe,8025,14135.489,2553,4496.935,479,2,3.523,0,0,0
Comoros,Africa,7745,890.638,123,14.144,0,159,18.284,1,0.115,0
Dominica,Americas,7667,10649.942,273,379.214,0,47,65.286,0,0,0
Sierra Leone,Africa,7542,94.547,160,2.006,160,125,1.567,2,0.025,2
Saint Martin,Americas,7517,19444.373,2295,5936.522,0,40,103.469,0,0,0
Liechtenstein,Europe,7371,19023.408,395,1019.434,0,67,172.917,0,0,0
Liberia,Africa,7121,140.796,67,1.325,0,287,5.675,0,0,0
Guinea-Bissau,Africa,7034,357.419,321,16.311,30,152,7.724,3,0.152,0
Chad,Africa,6889,41.94,331,2.015,331,185,1.126,0,0,0
Monaco,Europe,6837,17421.771,750,1911.12,81,44,112.119,2,5.096,0
Saint Vincent and the Grenadines,Americas,6562,5914.909,315,283.937,0,85,76.618,1,0.901,0
Sao Tome and Principe,Africa,5569,2541.077,677,308.908,44,66,30.115,3,1.369,0
Antigua and Barbuda,Americas,5321,5433.528,263,268.562,0,120,122.538,0,0,0
British Virgin Islands,Americas,5255,17379.37,491,1623.838,0,42,138.903,2,6.614,0
Turks and Caicos Islands,Americas,5025,12978.46,1014,2618.937,0,30,77.483,3,7.748,0
Saint Kitts and Nevis,Americas,4968,9339.75,752,1413.746,86,28,52.639,0,0,0
Bonaire,Americas,4747,22696.629,466,2228.066,0,25,119.531,2,9.563,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,3971,6899.248,306,531.647,25,21,36.486,1,1.737,0
Bhutan,South-East Asia,3170,410.83,340,44.064,101,3,0.389,0,0,0
Saint Barthélemy,Americas,2952,29863.429,502,5078.402,0,4,40.465,0,0,0
Anguilla,Americas,2109,14058.126,167,1113.185,69,7,46.66,1,6.666,1
Other,Other,764,,0,,0,13,,0,,0
Saint Pierre and Miquelon,Americas,524,9042.278,256,4417.601,79,0,0,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,226,7199.745,84,2676.011,0,0,0,0,0,0
Saba,Americas,180,9311.95,38,1965.856,0,0,0,0,0,0
Palau,Western Pacific,149,823.568,121,668.804,30,0,0,0,0,0
Montserrat,Americas,139,2780.556,25,500.1,10,1,20.004,0,0,0
Falkland Islands (Malvinas),Americas,85,2440.425,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,31,4.513,6,0.874,6,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,18,32.61,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,2,1.008,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
